area_type,area,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11,metric_12,metric_13,metric_14,metric_15,metric_16,metric_17,metric_18,metric_19,metric_20,metric_21,metric_22,metric_23,metric_24,metric_25,metric_26,metric_27,metric_28
state,W.P. Labuan,-0.995,-0.925,-0.401,0.115,-0.458,-0.519,-0.518,0.103,0.068,0.045,0.23,-0.466,0.038,-0.32,0.18,-0.048,-0.341,-0.244,0.567,-0.072,0.033,0.0,0.35,-0.36,-0.273,-0.19,0.421,0.002
state,W.P. Putrajaya,-1.0,-0.888,-0.592,0.95,-0.76,-0.419,-0.268,0.253,0.425,-0.2,0.279,-0.75,0.625,-0.8,0.702,0.7,-0.028,-0.901,-0.7,0.311,-0.4,0.0,0.35,0.119,-0.6,-0.542,0.226,-0.775
district,Batu Pahat,0.031,-0.263,-0.697,0.02,-0.069,0.097,0.068,0.02,-0.047,0.06,-0.091,0.0,-0.239,-0.045,0.139,0.134,-0.203,-0.471,,,0.133,,,0.006,0.0,-0.127,0.009,-0.357
district,Johor Bahru,-0.124,-0.586,-0.703,0.472,-0.315,0.03,0.342,0.171,-0.056,-0.082,-0.039,-0.249,-0.018,-0.335,0.266,0.239,0.101,-0.433,,,0.076,,,0.199,0.07,-0.504,-0.472,-0.587
district,Kluang,0.073,0.015,-0.19,-0.556,-0.027,0.42,-0.567,0.005,-0.159,-0.017,-0.065,0.01,-0.134,0.042,0.044,0.048,-0.083,-0.273,,,0.056,,,0.01,0.014,-0.168,0.013,-0.466
district,Kota Tinggi,0.102,0.014,-0.63,0.145,-0.028,0.288,0.26,-0.085,-0.067,-0.045,0.077,0.024,-0.099,0.103,0.112,0.076,0.007,-0.179,,,0.021,,,-0.537,0.079,0.003,0.167,-0.286
district,Mersing,0.073,0.008,0.105,-0.04,0.194,0.085,0.11,-0.484,-0.084,-0.063,0.069,0.022,-0.088,0.055,-0.065,0.001,0.063,0.067,,,0.03,,,0.015,0.115,0.054,0.405,-0.548
district,Muar,0.004,-0.261,0.049,-0.364,-0.01,0.15,0.092,0.017,-0.145,0.122,-0.105,-0.024,-0.166,-0.065,0.149,0.178,-0.019,-0.358,,,0.099,,,0.014,0.065,-0.056,-0.103,-0.365
district,Pontian,-0.195,-0.585,-0.53,0.044,-0.041,0.057,0.211,0.013,-0.091,0.016,0.032,0.038,-0.121,0.108,0.098,0.061,-0.016,-0.198,,,0.03,,,0.077,0.076,0.043,0.115,-0.398
district,Segamat,0.073,0.023,0.085,-0.727,0.055,0.263,-0.68,-0.027,-0.018,-0.075,-0.008,0.065,-0.261,0.208,0.076,0.097,-0.14,-0.471,,,0.069,,,-0.495,0.174,0.061,0.178,-0.249
district,Kulai,-0.291,-0.209,-0.158,-0.546,-0.106,0.249,0.001,0.041,-0.098,0.062,-0.18,-0.259,-0.289,-0.276,0.219,0.175,-0.111,-0.443,,,0.21,,,-0.647,-0.063,-0.451,-0.136,-0.585
district,Tangkak,-0.172,0.068,0.064,-0.285,-0.067,0.23,0.079,0.011,-0.016,0.065,-0.148,0.001,-0.193,0.103,0.091,0.106,-0.117,-0.395,,,0.067,,,-0.415,0.088,0.02,0.175,-0.473
district,Baling,0.011,0.198,0.131,-0.733,0.143,-0.007,-0.679,0.002,0.047,-0.056,0.104,0.074,0.052,0.029,-0.182,-0.216,-0.063,0.159,,,-0.059,,,-0.348,0.112,-0.003,0.182,0.014
district,Bandar Baharu,-0.551,-0.346,0.008,-0.621,-0.077,0.126,-0.522,0.01,0.051,-0.003,0.02,0.084,-0.005,0.154,-0.06,-0.252,-0.111,-0.066,,,-0.05,,,-0.875,-0.145,0.028,0.108,0.005
district,Kota Setar,-0.471,-0.556,-0.748,0.1,-0.572,-0.65,0.005,0.091,0.176,-0.031,0.019,0.039,0.067,0.11,0.032,0.087,-0.022,-0.141,,,-0.103,,,0.023,0.075,-0.284,0.003,-0.132
district,Kuala Muda,-0.206,0.052,-0.018,0.061,-0.315,0.0,-0.008,0.058,0.036,0.03,-0.108,-0.08,0.125,-0.215,0.025,0.0,0.087,0.048,,,-0.071,,,0.091,-0.023,-0.403,-0.148,-0.242
district,Kubang Pasu,-0.188,-0.131,-0.589,0.039,-0.316,-0.099,-0.368,0.02,0.214,0.01,-0.007,0.023,-0.056,0.061,0.067,0.087,0.007,-0.292,,,0.013,,,0.07,-0.054,-0.206,0.032,-0.315
district,Kulim,-0.28,0.197,0.045,-0.592,-0.103,0.118,-0.283,0.041,0.048,0.041,-0.128,-0.137,0.155,-0.307,0.013,-0.012,-0.089,0.032,,,-0.078,,,-0.207,0.033,-0.409,0.005,-0.519
district,Langkawi,-0.414,-0.045,0.104,0.174,-0.089,-0.528,-0.468,0.012,0.007,-0.108,0.093,-0.054,0.011,-0.261,0.096,0.013,-0.263,-0.659,,,0.044,,,-0.077,0.011,-0.307,0.233,-0.128
district,Padang Terap,0.003,-0.118,0.003,0.133,-0.086,0.064,-0.732,-0.254,-0.013,0.025,0.105,0.058,0.026,0.072,-0.094,0.022,-0.165,0.019,,,-0.049,,,0.255,0.03,-0.12,0.315,-0.219
district,Sik,0.016,0.044,0.126,-0.147,0.267,-0.157,-0.745,-0.329,0.064,-0.031,0.054,0.045,0.037,0.226,-0.06,-0.093,-0.124,-0.028,,,-0.116,,,0.042,0.102,-0.054,0.102,-0.249
district,Yan,-0.564,0.058,-0.511,0.234,-0.369,-0.602,-0.47,0.025,0.041,0.078,-0.082,0.026,0.209,0.232,-0.166,-0.182,0.035,0.076,,,-0.273,,,0.027,0.021,-0.098,0.262,-0.224
district,Pendang,-0.358,-0.05,-0.569,-0.485,-0.257,0.066,-0.582,0.01,-0.058,0.024,0.076,0.092,0.211,0.099,-0.113,-0.132,-0.149,0.003,,,-0.232,,,-0.875,-0.061,-0.128,0.145,-0.135
district,Pokok Sena,-0.565,-0.499,-0.671,-0.118,-0.308,0.035,-0.446,0.015,-0.127,0.027,-0.197,0.048,-0.073,0.096,-0.044,-0.022,-0.178,-0.056,,,0.011,,,0.114,-0.018,-0.067,-0.26,-0.456
district,Bachok,-0.547,-0.562,-0.4,-0.014,-0.505,-0.523,-0.161,0.055,0.296,0.24,0.038,0.014,0.054,-0.033,-0.104,-0.15,0.007,0.083,,,-0.042,,,-0.875,-0.099,-0.296,0.019,0.149
district,Kota Bharu,-0.48,-0.555,-0.506,0.117,-0.446,-0.503,0.011,0.146,0.156,0.191,0.08,-0.013,0.026,0.002,0.02,0.056,0.077,0.019,,,-0.023,,,0.013,-0.011,-0.364,0.023,0.113
district,Machang,-0.414,-0.182,0.059,0.01,-0.006,-0.113,-0.5,0.015,0.181,0.238,0.063,0.001,0.273,0.071,-0.083,-0.05,-0.022,-0.075,,,-0.277,,,-0.192,-0.258,-0.321,0.232,0.157
district,Pasir Mas,-0.391,-0.508,-0.496,0.045,-0.25,-0.189,-0.348,0.037,0.096,0.261,0.063,0.014,0.212,0.078,-0.101,-0.01,0.077,0.083,,,-0.226,,,-0.223,-0.228,-0.311,0.126,0.189
district,Pasir Puteh,-0.469,-0.276,-0.122,0.016,-0.339,-0.341,-0.396,0.028,0.196,0.271,0.125,0.039,0.279,0.113,-0.111,-0.034,0.094,0.076,,,-0.294,,,-0.323,-0.123,-0.269,0.101,0.16
district,Tanah Merah,-0.224,-0.047,0.039,-0.552,0.091,0.174,-0.601,0.011,0.035,0.236,0.059,-0.102,0.193,0.013,-0.177,-0.109,-0.041,0.065,,,-0.187,,,-0.377,-0.04,-0.336,0.161,0.15
district,Tumpat,-0.6,-0.7,-0.735,0.152,-0.489,-0.624,0.002,0.104,0.194,0.276,0.096,0.011,0.327,0.058,-0.083,0.017,0.052,0.073,,,-0.317,,,-0.457,-0.126,-0.437,0.104,0.167
district,Gua Musang,0.235,0.273,0.122,-0.78,0.28,0.136,-0.785,-0.609,-0.088,0.239,0.148,-0.145,0.382,-0.194,-0.239,-0.09,0.028,0.148,,,-0.306,,,-0.138,0.029,-0.291,0.069,0.072
district,Kuala Krai,0.046,0.168,0.101,-0.419,0.207,0.099,-0.752,-0.278,0.125,0.093,0.134,0.031,0.114,0.019,-0.245,-0.226,0.08,0.231,,,-0.116,,,-0.159,0.039,-0.097,0.189,0.264
district,Jeli,0.001,0.198,0.056,-0.603,0.26,-0.153,-0.763,-0.332,0.148,0.165,0.055,-0.092,0.023,-0.175,-0.265,-0.295,-0.098,0.169,,,0.018,,,0.09,-0.081,-0.209,0.418,0.201
district,Kecil Lojing,0.024,0.295,0.089,-0.813,0.326,0.042,-0.792,-0.72,-0.006,0.235,-0.009,-0.045,0.448,-0.409,-0.429,-0.198,-0.4,0.404,,,-0.319,,,-0.875,-0.285,-0.278,-0.85,0.636
district,Alor Gajah,-0.334,-0.496,-0.313,-0.053,-0.158,0.237,-0.017,0.033,0.014,-0.089,-0.141,-0.09,-0.347,-0.101,0.117,0.148,-0.01,-0.386,,,0.205,,,-0.574,-0.019,-0.045,0.128,-0.514
district,Jasin,-0.331,-0.333,-0.148,-0.262,-0.079,0.289,0.038,0.017,-0.092,-0.042,0.027,0.01,-0.307,0.06,0.136,0.164,0.094,-0.461,,,0.14,,,-0.38,0.031,0.075,0.159,-0.36
district,Melaka Tengah,-0.503,-0.583,-0.53,0.001,-0.428,-0.142,0.25,0.177,-0.04,-0.079,-0.078,-0.09,0.005,-0.057,0.186,0.2,0.104,-0.348,,,0.01,,,0.001,0.201,-0.405,-0.505,-0.453
district,Jelebu,0.003,0.12,0.091,-0.687,0.215,0.004,-0.712,-0.411,-0.115,0.031,-0.014,0.044,0.199,0.229,0.009,0.061,0.07,-0.254,,,-0.263,,,0.725,0.269,0.025,0.242,-0.036
district,Kuala Pilah,-0.145,0.049,0.029,-0.492,0.066,0.009,-0.592,-0.032,0.054,-0.07,-0.11,0.085,-0.132,0.126,-0.045,0.073,0.024,0.006,,,0.03,,,0.035,0.282,0.15,-0.014,-0.034
district,Port Dickson,-0.383,-0.516,-0.419,0.021,-0.139,0.323,0.188,0.017,-0.058,-0.02,-0.039,-0.011,-0.002,-0.085,0.073,0.091,0.066,-0.339,,,0.021,,,0.158,0.002,-0.069,0.015,-0.251
district,Rembau,-0.479,-0.021,0.04,-0.734,-0.042,0.115,-0.451,0.005,0.095,-0.082,0.01,0.073,-0.222,0.148,-0.022,0.012,0.01,-0.207,,,0.068,,,0.415,0.277,0.191,0.089,-0.339
district,Seremban,-0.184,0.054,0.011,-0.541,-0.135,0.098,0.009,0.073,0.007,-0.079,-0.1,-0.16,-0.087,-0.07,0.153,0.167,0.094,-0.443,,,0.059,,,0.077,0.098,-0.366,-0.51,-0.566
district,Tampin,-0.24,-0.104,0.001,-0.687,-0.048,0.426,-0.536,0.004,-0.06,-0.013,-0.1,0.077,0.123,0.128,0.033,0.051,0.094,-0.292,,,-0.163,,,-0.022,0.075,0.014,0.186,-0.22
district,Jempol,0.009,-0.08,0.041,-0.811,-0.039,0.575,-0.633,0.002,0.005,-0.019,0.049,0.052,0.063,0.162,-0.067,0.023,-0.048,-0.16,,,-0.118,,,-0.284,0.151,0.004,-0.156,-0.023
district,Bentong,0.025,0.191,0.086,-0.792,0.165,0.123,0.052,-0.084,-0.211,-0.04,-0.143,-0.008,-0.029,0.023,0.001,0.044,-0.238,-0.433,,,0.011,,,-0.232,0.137,-0.006,0.322,-0.219
district,Cameron Highlands,-0.314,0.297,0.125,-0.737,0.227,-0.529,-0.632,-0.183,-0.224,-0.008,0.009,-0.225,-0.009,-0.161,0.085,0.089,-0.273,-0.706,,,0.038,,,0.19,0.323,0.068,0.321,0.025
district,Jerantut,0.291,0.274,0.091,-0.545,0.326,-0.22,-0.784,-0.645,-0.068,0.072,0.01,-0.009,0.077,0.025,-0.156,-0.137,-0.225,0.032,,,-0.082,,,-0.092,0.124,0.027,0.155,0.069
district,Kuantan,0.077,0.12,-0.492,0.01,-0.012,0.172,0.211,0.013,-0.011,-0.066,0.002,-0.247,0.053,-0.308,0.118,0.119,-0.095,-0.574,,,0.02,,,0.114,-0.049,-0.404,-0.26,-0.309
district,Lipis,0.181,0.255,0.084,-0.72,0.292,-0.138,0.008,-0.58,-0.054,0.14,-0.007,-0.066,0.046,-0.125,-0.146,0.011,-0.213,-0.198,,,-0.012,,,-0.097,0.145,0.053,0.36,0.004
district,Pekan,0.117,-0.22,-0.675,0.026,0.134,0.323,0.016,-0.435,-0.099,-0.067,0.099,-0.018,-0.104,-0.141,-0.048,-0.012,-0.133,-0.122,,,0.082,,,-0.255,0.053,0.012,0.193,0.027
district,Raub,0.045,0.263,0.087,-0.336,0.245,0.019,-0.753,-0.319,-0.053,0.044,-0.137,0.019,0.043,0.019,-0.052,0.089,-0.146,-0.301,,,-0.046,,,0.124,0.111,0.009,0.363,-0.021
district,Temerloh,0.044,0.256,-0.073,-0.267,0.101,0.202,-0.676,0.0,0.013,-0.003,0.03,0.013,0.191,-0.13,-0.014,-0.088,-0.114,-0.169,,,-0.153,,,0.083,0.101,-0.147,-0.154,-0.028
district,Rompin,0.184,0.022,-0.547,-0.194,0.19,0.401,-0.768,-0.579,-0.124,-0.11,0.188,0.026,0.011,-0.013,-0.12,0.013,-0.203,-0.113,,,-0.003,,,0.119,0.207,0.033,0.079,0.045
district,Maran,0.029,0.026,-0.006,-0.13,-0.006,0.195,-0.71,-0.141,-0.021,0.109,0.024,0.051,0.069,0.231,-0.113,0.033,-0.146,-0.141,,,-0.149,,,0.083,0.228,0.033,0.342,0.014
district,Bera,0.043,-0.269,-0.11,-0.43,0.025,0.316,-0.742,-0.298,-0.075,0.045,-0.125,0.006,0.022,0.159,-0.134,-0.119,-0.219,-0.471,,,-0.077,,,-0.875,0.032,-0.017,-0.251,0.009
district,Seberang Perai Tengah,-0.569,-0.29,-0.075,0.061,-0.478,-0.411,0.028,0.191,-0.061,-0.008,-0.184,-0.074,-0.277,-0.136,0.143,0.124,0.028,-0.527,,,0.173,,,0.163,0.118,-0.36,-0.572,-0.502
district,Seberang Perai Utara,-0.553,-0.665,-0.713,0.039,-0.491,-0.371,0.116,0.133,0.08,-0.031,-0.092,0.01,-0.065,-0.036,0.108,0.061,0.0,-0.311,,,0.042,,,-0.432,0.059,-0.313,-0.243,-0.454
district,Seberang Perai Selatan,-0.566,-0.398,-0.685,0.033,-0.302,-0.18,0.017,0.077,0.118,-0.18,-0.06,-0.004,-0.218,-0.266,0.103,0.078,-0.114,-0.546,,,0.168,,,-0.467,0.095,-0.206,-0.051,-0.361
district,Timur Laut,-0.629,-0.079,0.076,0.016,-0.263,-0.596,0.024,0.484,0.09,-0.244,-0.419,0.033,-0.278,0.107,0.211,0.201,-0.01,-0.697,,,0.11,,,0.329,0.085,-0.367,-0.639,-0.596
district,Barat Daya,-0.603,-0.133,0.055,0.058,-0.196,-0.476,0.008,0.144,0.106,-0.174,-0.086,-0.112,-0.201,-0.102,0.205,0.231,0.007,-0.65,,,0.124,,,0.013,0.148,-0.367,-0.231,-0.514
district,Batang Padang,0.023,0.256,0.076,-0.304,0.066,-0.052,-0.681,-0.026,-0.098,-0.091,-0.071,0.039,-0.062,0.204,0.024,-0.089,0.122,-0.075,,,-0.034,,,-0.269,0.08,0.065,0.238,-0.132
district,Manjung,-0.091,-0.219,-0.639,0.2,-0.189,0.152,0.067,0.016,-0.095,-0.023,-0.048,0.008,-0.056,0.028,0.056,0.056,0.083,-0.094,,,0.022,,,0.117,0.18,-0.14,-0.136,-0.212
district,Kinta,0.0,0.263,0.136,0.025,-0.154,-0.281,0.002,0.068,-0.002,-0.105,-0.246,0.009,-0.104,0.196,0.055,0.07,0.143,-0.282,,,-0.005,,,0.025,0.092,-0.375,0.047,-0.484
district,Kerian,-0.192,-0.429,-0.728,0.16,-0.25,-0.036,0.032,0.012,0.025,0.03,-0.051,0.085,-0.13,0.165,0.017,0.057,-0.168,-0.179,,,0.018,,,-0.423,0.163,0.044,0.249,-0.33
district,Kuala Kangsar,0.059,0.265,0.114,-0.353,0.22,-0.081,-0.676,-0.03,0.09,-0.12,-0.091,0.067,-0.007,0.181,-0.023,0.016,0.097,0.043,,,-0.059,,,-0.021,0.069,0.046,-0.182,-0.272
district,Larut Dan Matang,0.002,0.152,0.07,0.152,0.043,-0.116,0.038,0.014,-0.001,-0.059,-0.009,-0.045,-0.017,0.238,0.006,0.05,-0.108,0.0,,,-0.074,,,0.094,0.088,-0.102,-0.414,-0.446
district,Hilir Perak,-0.255,-0.612,-0.652,0.042,-0.161,0.24,-0.507,0.011,-0.076,0.021,-0.081,0.093,-0.242,0.251,-0.094,-0.019,0.035,0.065,,,0.047,,,0.224,0.147,0.046,0.089,-0.114
district,Hulu Perak,0.247,0.272,0.087,0.077,0.304,-0.361,0.018,-0.627,-0.007,-0.044,-0.009,-0.045,0.098,0.104,-0.137,-0.192,-0.016,0.08,,,-0.131,,,-0.085,0.129,0.061,0.65,-0.032
district,Perak Tengah,-0.008,-0.251,-0.712,0.029,-0.164,0.188,0.051,0.0,0.021,-0.202,0.017,0.044,-0.189,0.034,0.007,0.029,0.049,0.033,,,0.087,,,-0.08,0.265,0.147,0.089,-0.282
district,Kampar,-0.338,0.248,0.12,0.098,-0.058,-0.436,-0.675,0.009,0.053,-0.163,-0.239,0.094,-0.289,0.29,-0.082,-0.205,0.0,-0.085,,,0.059,,,-0.114,0.111,0.035,0.078,0.01
district,Muallim,-0.186,0.212,0.103,-0.748,0.135,0.105,-0.628,0.001,0.35,-0.114,-0.009,-0.045,-0.378,-0.101,0.014,0.026,0.111,0.059,,,0.222,,,0.019,0.184,0.072,0.504,-0.381
district,Bagan Datuk,-0.173,-0.654,-0.75,0.431,-0.169,0.297,0.039,0.002,-0.162,-0.138,-0.281,-0.015,-0.42,0.009,0.028,0.021,0.017,-0.141,,,0.221,,,0.17,-0.016,0.234,0.13,-0.129
district,Selama,-0.28,0.195,0.099,-0.822,0.212,-0.081,-0.742,-0.296,0.105,-0.106,-0.009,-0.045,-0.058,0.264,0.006,0.05,-0.108,0.0,,,-0.059,,,0.236,-0.181,0.117,0.001,-0.244
district,Perlis,-0.256,-0.154,-0.606,0.078,-0.451,-0.408,-0.228,0.031,0.158,-0.136,-0.084,0.027,-0.271,0.061,0.013,0.027,-0.079,-0.377,,,0.121,,,-0.347,-0.066,-0.083,0.112,0.01
district,Gombak,-0.346,0.106,0.048,-0.12,-0.075,-0.277,0.01,0.153,-0.018,0.054,-0.153,-0.288,0.387,-0.422,0.412,0.255,0.15,-0.706,,,-0.266,,,0.058,-0.148,-0.625,-0.538,-0.663
district,Klang,-0.357,-0.629,-0.621,0.149,-0.283,-0.264,0.259,0.184,-0.111,0.03,-0.08,-0.232,0.071,-0.321,0.309,0.243,0.066,-0.584,,,0.007,,,0.104,0.077,-0.563,-0.553,-0.701
district,Kuala Langat,-0.237,-0.529,-0.742,0.079,-0.103,0.168,0.078,0.032,-0.032,-0.045,0.072,-0.167,0.007,-0.331,0.204,0.174,-0.073,-0.518,,,0.06,,,-0.386,0.034,-0.41,-0.659,-0.638
district,Kuala Selangor,-0.059,-0.559,-0.731,0.01,-0.067,0.053,0.062,0.018,0.056,-0.091,-0.033,-0.175,0.094,-0.264,0.17,0.166,0.143,-0.414,,,-0.028,,,-0.342,0.073,-0.335,-0.432,-0.661
district,Petaling,-0.435,-0.44,-0.362,0.0,-0.472,-0.304,0.183,0.518,-0.062,-0.081,-0.147,-0.333,0.078,-0.366,0.452,0.375,0.174,-0.64,,,0.011,,,0.108,0.151,-0.59,-0.517,-0.736
district,Sabak Bernam,-0.157,-0.678,-0.748,0.034,-0.141,-0.3,0.058,0.004,-0.015,-0.067,0.073,0.093,-0.016,0.148,0.05,0.077,0.111,-0.301,,,-0.041,,,0.222,0.182,0.031,0.306,-0.551
district,Sepang,-0.4,-0.496,-0.46,0.027,-0.248,0.114,0.017,0.058,-0.086,-0.21,-0.131,-0.429,-0.073,-0.451,0.459,0.266,0.132,-0.678,,,0.128,,,0.092,0.108,-0.484,0.033,-0.704
district,Ulu Langat,-0.249,0.118,0.022,-0.247,-0.102,-0.285,0.086,0.179,-0.053,-0.111,-0.063,-0.279,0.032,-0.437,0.327,0.211,-0.067,-0.687,,,0.061,,,0.026,0.016,-0.597,-0.64,-0.757
district,Ulu Selangor,0.021,0.193,0.033,-0.161,0.099,-0.023,-0.527,0.008,-0.065,-0.001,-0.039,-0.143,0.087,-0.267,0.153,0.1,-0.063,-0.603,,,-0.02,,,-0.257,-0.137,-0.357,0.082,-0.665
district,Besut,-0.034,0.125,0.122,0.03,-0.001,-0.23,-0.594,0.006,0.079,0.056,0.184,0.009,0.153,-0.021,0.036,0.059,-0.086,0.035,,,-0.142,,,-0.388,0.048,-0.166,-0.278,0.056
district,Dungun,0.067,0.133,0.041,-0.495,0.239,-0.102,-0.652,-0.15,0.035,-0.004,0.134,-0.083,0.091,-0.206,0.15,0.155,-0.057,-0.264,,,-0.038,,,-0.4,-0.072,-0.15,-0.106,0.03
district,Kemaman,0.058,0.093,0.08,-0.526,0.056,0.082,-0.531,0.002,-0.029,0.015,0.077,-0.2,0.206,-0.355,0.169,0.151,-0.041,-0.311,,,-0.117,,,-0.526,0.034,-0.359,-0.168,0.009
district,Kuala Terengganu,-0.584,-0.594,-0.561,0.157,-0.357,-0.379,0.013,0.114,0.118,-0.044,0.287,0.048,0.015,0.075,0.093,0.135,-0.194,-0.33,,,-0.039,,,0.137,0.055,-0.264,-0.466,0.012
district,Marang,-0.338,-0.422,-0.142,-0.262,-0.115,0.07,-0.515,0.012,0.071,0.046,0.19,-0.038,0.112,-0.068,0.043,0.084,-0.156,0.005,,,-0.092,,,-0.875,-0.0,-0.266,-0.093,0.113
district,Hulu Terengganu,0.12,0.131,-0.25,0.424,0.136,-0.34,0.02,-0.586,-0.056,0.03,0.209,0.045,0.014,0.099,0.005,0.057,-0.063,0.0,,,-0.048,,,0.036,0.122,0.15,0.094,0.18
district,Setiu,0.0,0.059,0.06,-0.147,-0.031,0.116,-0.711,-0.282,0.079,0.077,0.199,0.049,0.123,-0.003,0.021,0.03,-0.095,-0.132,,,-0.117,,,0.069,0.088,0.125,0.031,0.2
district,Kuala Nerus,-0.483,-0.429,0.031,0.035,-0.124,-0.03,-0.187,0.033,0.175,0.025,-0.026,-0.188,-0.008,-0.174,0.156,0.156,-0.137,-0.235,,,0.04,,,-0.875,-0.048,-0.295,-0.648,-0.347
district,Tawau,0.044,0.079,-0.028,0.015,-0.018,-0.001,0.034,0.011,-0.016,0.238,-0.104,-0.258,0.198,-0.344,0.061,-0.173,0.097,0.1,,,-0.112,,,-0.068,-0.318,-0.507,-0.771,-0.083
district,Lahad Datu,0.286,0.075,0.077,-0.004,0.188,-0.038,0.032,-0.447,-0.063,0.155,-0.037,-0.359,0.179,-0.476,0.026,-0.122,0.035,0.181,,,-0.063,,,-0.547,-0.225,-0.463,-0.593,0.021
district,Semporna,-0.081,-0.255,-0.516,0.041,-0.054,0.085,0.061,0.008,0.046,0.411,0.061,-0.227,0.45,-0.387,0.043,-0.203,0.4,0.376,,,-0.325,,,-0.424,-0.461,-0.425,-0.497,-0.098
district,Sandakan,0.045,-0.531,-0.291,0.081,-0.014,0.181,0.039,0.014,0.027,0.319,-0.21,-0.245,0.113,-0.339,0.049,-0.043,0.094,0.164,,,-0.029,,,-0.19,-0.311,-0.479,-0.716,-0.025
district,Kinabatangan,0.247,0.074,-0.629,0.017,0.053,0.049,-0.795,-0.547,-0.169,0.11,-0.5,-0.55,0.174,-0.6,-0.029,-0.421,0.066,0.385,,,-0.028,,,-0.35,-0.483,-0.423,-0.439,0.02
